4SGM_SKU,Product ID
39517,11000016678179
39502,11000016673199
39508,11000016690223
18172,11000016690222
18141,11000016719191
39518,11000016698192
13516,11000016619204
44462,11000016635226
39458,11000016644184
69072,11000016635227
33686,11000016650224
15829,11000016651210
13514,11000016675188
39470,11000016654195
65228,11000016694213
19399,11000016682190
39503,11000016713202
50199,11000016638191
18122,11000016671189
24365,11000016617215
85916,11000016705205
18186,11000016638190
18095,11000016615213
18145,11000016690221
39482,11000016616224
27528,11000016616225
39442,11000016682189
63543,11000016626217
20850,11000016674199
69094,11000016646192
97289,11000016716210
18170,11000016615214
15910,11000016678180
39457,11000016640187
57241,11000016649214
51376,11000016695210
69790,11000016650225
18118,11000016683215
93825,11000016688191
66302,11000016134514
50314,11000016076792
25968,11000016111603
26267,11000016025720
86029,11000016012641
97143,11000015972964
44438,11000015989749
70774,11000015456119
49909,11000015935090
95992,11000016177130
93342,11000016170343
32062,11000016101578
95986,11000016130516
95991,11000016095704
46967,11000016071104
56979,11000016017738
57956,11000016026580
86027,11000016002643
31336,11000015981910
66295,11000016141501
96140,11000015874016
90139,11000016116556
49946,11000016041378
48477,11000016038695
57959,11000016034593
64939,11000016032588
48478,11000016033702
57951,11000016022600
50124,11000016002767
57958,11000015982778
49940,11000015993528
77460,11000016178092
32075,11000016174232
46529,11000016150406
49941,11000016019457
86028,11000016015639
56836,11000015859460
32096,11000015819655
